"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",242
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",243
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","This position primarily reports to Washington, DC and may be assigned to multiple duty stations nationally and internationally. Show us you have the talent","30+ days ago","22-01-10","$49,508 - $146,120 ",158
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",219
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",223
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",231
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",238
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",246
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",163
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",250
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",251
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",252
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",254
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",255
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",256
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",257
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",259
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",262
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",264
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",265
"Operations Analyst","Catalina Island Conservancy","Santa Catalina Island, CA Remote","Reviews, distributes and/or responds to incoming correspondence, telephone calls and e-mail inquiries. Possess a current driver's license and ability to drive a","11 days ago","22-01-10","None",266
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",267
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",268
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",165
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",263
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",258
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",269
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",253
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",173
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",279
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",281
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",282
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",283
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",284
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",287
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",289
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",273
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",293
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",294
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",295
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",297
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",298
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",296
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",274
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",285
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",280
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",292
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",299
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",302
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",174
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",306
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",307
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",308
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",309
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",310
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",311
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",313
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",316
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",177
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",319
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",320
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",321
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",322
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",323
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",324
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",318
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",325
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",300
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",312
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",326
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",327
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",328
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",329
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Candidate must be willing to live and work on Catalina","Today","22-01-10","None",330
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Catalina Island Company, the resort operator on Catalina Island, is located 22 miles off the coast of southern California and offers an abundance of amenities","3 days ago","22-01-10","None",331
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",182
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",337
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",338
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",340
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",341
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",343
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",344
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",345
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",346
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",347
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",348
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",184
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",342
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",332
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",339
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",353
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",354
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",355
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",358
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",191
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",362
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",363
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",193
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",366
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",367
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",368
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",369
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",371
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",372
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",373
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",374
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",195
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",379
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",370
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",356
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",375
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",381
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",382
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",383
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",199
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",388
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",201
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",391
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",393
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",394
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",205
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",400
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",402
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",403
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",404
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",405
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",384
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",395
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",406
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",380
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",392
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",401
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",407
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",410
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",206
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",414
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",415
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",418
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",419
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",420
