"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",68
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",69
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",35
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",71
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",74
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",78
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",79
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",80
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",81
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",82
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",65
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",77
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",83
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",84
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",85
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",87
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",88
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",89
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",90
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",92
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",94
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",37
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",97
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",98
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",99
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",101
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",104
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",39
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",106
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",107
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",48
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",109
