jobtitle,company,location,jobsummary,posted,datapulled,yearly_salary,id,coordinates
Limpia de casa,Catalina Island Medical Center,"Avalon, CA",Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de,4 days ago,22-01-10,"$39,520 - $47,840",694,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",187,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",728,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",735,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",740,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",747,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",753,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",760,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",765,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",772,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",779,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",784,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",789,"(33.34, -118.33)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,494,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,497,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,499,"(33.38, -118.42)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,502,"(33.38, -118.42)"
Airport Operations Assistant Manager,Catalina Island Conservancy,"Santa Catalina Island, CA",A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private,30+ days ago,22-01-10,None,503,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,504,"(33.38, -118.42)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",797,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",805,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",810,"(33.34, -118.33)"
Visitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.",3 days ago,22-01-10,None,71,"(33.44, -118.50)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",817,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",824,"(33.34, -118.33)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,522,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,524,"(33.38, -118.42)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",831,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",839,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",846,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",851,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",859,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",866,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Great part-time job available. Fantastic Race, Inc, the world''s preeminent scavenger hunt/ sightseeing company is looking for game hosts for its race on",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",872,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",877,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",881,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",887,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",892,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",898,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",904,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",909,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",914,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",920,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",925,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",561,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",930,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",938,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",944,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",950,"(33.34, -118.33)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,545,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,548,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,555,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,558,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,564,"(33.38, -118.42)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",955,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",963,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",969,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",974,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",980,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",987,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",992,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",997,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1005,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1010,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1016,"(33.34, -118.33)"
Visitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.",3 days ago,22-01-10,None,75,"(33.44, -118.50)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1021,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1028,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1033,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1041,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1049,"(33.34, -118.33)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,571,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,578,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,585,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,588,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,596,"(33.38, -118.42)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1055,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1060,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1068,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1074,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1079,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1085,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1093,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1098,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1102,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1107,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1113,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1118,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1123,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1128,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1135,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1141,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1147,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1155,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1160,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1166,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1172,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1176,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1181,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1189,"(33.34, -118.33)"
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,"$62,400 - $104,000",1195,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",451,"(33.34, -118.33)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,599,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,602,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,609,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,611,"(33.38, -118.42)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,616,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,617,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,619,"(33.38, -118.42)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",467,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.",3 days ago,22-01-10,"$41,600",591,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",718,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",724,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",732,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",737,"(33.34, -118.33)"
