jobtitle,company,location,jobsummary,posted,datapulled,yearly_salary,id,coordinates
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",4 days ago,22-01-10,None,814,"(33.34, -118.33)"
Housekeeper,Catalina Island Medical Center,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",4 days ago,22-01-10,None,816,"(33.34, -118.33)"
Manager,MMW Hospitaly Corp,"Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",3 days ago,22-01-10,"$41,600",796,"(33.34, -118.33)"
Food Service Worker,Catalina Island Medical Center,"Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",4 days ago,22-01-10,None,822,"(33.34, -118.33)"
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None,825,"(33.34, -118.33)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,319,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,531,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,533,"(33.38, -118.42)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,42,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,56,"(33.38, -118.42)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,59,"(33.38, -118.42)"
Operations Analyst,Catalina Island Conservancy,"Santa Catalina Island, CA","Reviews, distributes and/or responds to incoming correspondence, telephone calls and e-mail inquiries. Possess a current driver''s license and ability to drive a",11 days ago,22-01-10,None,61,"(33.38, -118.42)"
Airport Operations Assistant Manager,Catalina Island Conservancy,"Santa Catalina Island, CA",A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private,30+ days ago,22-01-10,None,60,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,62,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,69,"(33.38, -118.42)"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",30+ days ago,22-01-10,None,826,"(33.34, -118.33)"
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",4 days ago,22-01-10,None,827,"(33.34, -118.33)"
Housekeeper,Catalina Island Medical Center,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",4 days ago,22-01-10,None,829,"(33.34, -118.33)"
Food Service Worker,Catalina Island Medical Center,"Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",4 days ago,22-01-10,None,830,"(33.34, -118.33)"
